User ID,Username,Role,Action,Timestamp,IP Address
12,sukhesh_029,product owner,Login,2025-01-26 14:50:49,127.0.0.1
12,sukhesh_029,product owner,Logout,2025-01-26 14:53:54,127.0.0.1
13,Bob3,product owner,Login,2025-01-26 13:59:31,127.0.0.1
13,Bob3,product owner,Logout,2025-01-26 14:08:00,127.0.0.1
19,new,product owner,Login,2025-01-26 22:45:08,127.0.0.1
19,new,product owner,Logout,2025-01-26 22:46:45,127.0.0.1
18,aakash,admin,Login,2025-01-26 22:47:04,127.0.0.1
18,aakash,admin,Logout,2025-01-26 22:48:04,127.0.0.1
19,new,product owner,Login,2025-01-26 22:47:20,127.0.0.1
19,new,product owner,Logout,2025-01-26 22:47:57,127.0.0.1
19,new,product owner,Login,2025-01-26 22:48:08,127.0.0.1
19,new,product owner,Logout,2025-01-26 22:56:25,127.0.0.1
18,aakash,admin,Login,2025-01-28 00:32:07,127.0.0.1
18,aakash,admin,Logout,2025-01-28 00:43:16,127.0.0.1
19,new,product owner,Login,2025-01-28 00:43:47,127.0.0.1
19,new,product owner,Logout,2025-01-28 00:44:55,127.0.0.1
18,aakash,admin,Login,2025-01-28 14:20:00,127.0.0.1
18,aakash,admin,Logout,2025-01-28 14:27:13,127.0.0.1
18,aakash,admin,Login,2025-01-28 14:28:36,127.0.0.1
18,aakash,admin,Logout,2025-01-28 14:29:49,127.0.0.1
19,new,product owner,Login,2025-01-28 14:33:14,127.0.0.1
19,new,product owner,Logout,2025-01-28 14:45:00,127.0.0.1
18,aakash,admin,Login,2025-01-28 14:45:30,127.0.0.1
18,aakash,admin,Logout,2025-01-28 14:45:48,127.0.0.1
18,aakash,admin,Login,2025-01-28 15:14:19,127.0.0.1
18,aakash,admin,Logout,2025-01-28 15:14:40,127.0.0.1
19,new,product owner,Login,2025-01-28 15:15:18,127.0.0.1
19,new,product owner,Logout,2025-01-28 15:15:58,127.0.0.1
19,new,product owner,Login,2025-01-29 22:02:01,127.0.0.1
19,new,product owner,Logout,2025-01-29 22:35:08,127.0.0.1
19,new,product owner,Login,2025-01-29 17:42:05,127.0.0.1
19,new,product owner,Logout,2025-01-29 17:43:46,127.0.0.1
18,aakash,admin,Login,2025-01-29 17:43:55,127.0.0.1
18,aakash,admin,Logout,2025-01-29 17:52:16,127.0.0.1
18,aakash,admin,Login,2025-01-31 04:13:21,127.0.0.1
18,aakash,admin,Login,2025-01-31 04:13:49,127.0.0.1
17,Bob3,product owner,Login,2025-01-31 11:44:30,127.0.0.1
17,Bob3,product owner,Login,2025-01-31 13:33:17,127.0.0.1
17,Bob3,product owner,Login,2025-01-31 13:36:43,127.0.0.1
17,Bob3,product owner,Login,2025-01-31 13:36:59,127.0.0.1
17,Bob3,product owner,Login,2025-01-31 13:38:56,127.0.0.1
18,aakash,admin,Login,2025-01-31 13:49:44,127.0.0.1
17,Bob3,product owner,Login,2025-01-31 14:20:57,127.0.0.1
17,Bob3,product owner,Login,2025-01-31 14:28:01,127.0.0.1
18,aakash,admin,Login,2025-01-31 15:31:54,127.0.0.1
18,aakash,admin,Login,2025-01-31 15:33:37,127.0.0.1
18,aakash,admin,Logout,2025-01-31 15:36:34,127.0.0.1
22,prashanthi,product owner,Login,2025-01-31 16:42:45,127.0.0.1
22,prashanthi,product owner,Login,2025-01-31 16:43:03,127.0.0.1
18,aakash,admin,Login,2025-02-01 04:41:45,127.0.0.1
18,aakash,admin,Login,2025-02-01 04:42:22,127.0.0.118,aakash,admin,Login,2025-02-02 21:59:08,127.0.0.1
18,aakash,admin,Login,2025-02-02 21:59:31,127.0.0.1
18,aakash,admin,Login,2025-02-02 17:08:58,106.206.196.112
18,aakash,admin,Login,2025-02-02 17:09:19,106.206.196.112
19,new,product owner,Login,2025-02-03 05:46:01,127.0.0.1
19,new,product owner,Login,2025-02-03 05:46:19,127.0.0.1
19,new,product owner,Logout,2025-02-03 05:47:41,127.0.0.1
